review_id,product_id,product_name,user_id,rating,review_title,review_text,verified_purchase,helpful_votes,timestamp
1,B07XJ8C8F7,Fitness Smartwatch,U126855092,5,Outstanding!,Perfect purchase! Works exactly as advertised with premium build quality. Exceeded my expectations completely. Five stars!,True,8,2024-02-22
2,B08L5M9P3T,Bluetooth Speaker Portable,U134126396,1,Disappointing,Terrible product that breaks easily after minimal use. Complete waste of money with poor customer service support.,True,32,2024-11-04
3,B08M7K3Q2R,Laptop Stand Adjustable,U868820204,4,Great buy!,Fantastic product! Exceeded my expectations completely. Absolutely love the features and ease of use. Will buy again!,True,14,2024-08-17
4,B08N5WRWNW,Wireless Bluetooth Headphones,U914763202,5,Excellent!,"Outstanding quality! Build feels premium and durable, worth every penny. Been using it daily and never disappoints.",True,21,2024-05-22
5,B09N8R4W7Q,Wireless Phone Charger,U209747451,1,Avoid!,Complete disaster! Stops working randomly and causes frustration daily. Horrible experience with unreliable performance.,True,22,2024-11-05
6,B08N5WRWNW,Wireless Bluetooth Headphones,U883543540,4,Great buy!,Fantastic product! Exceeded my expectations completely. Absolutely love the features and ease of use. Will buy again!,True,24,2024-02-10
7,B07W8M5Q9P,Monitor 27 inch 4K,U488302652,4,Great buy!,Best purchase I made this year! Incredible performance and beautiful design. Shipping was fast and packaging perfect.,True,2,2024-12-04
8,B07P6Y8L3F,USB-C Hub Multiport,U185675980,5,Fantastic!,Perfect functionality with premium feel and great design! Easy to use and reliable performance. Outstanding value for money.,False,24,2024-05-22
9,B09N8R4W7Q,Wireless Phone Charger,U274648506,3,Mixed feelings,It is okay overall. The design is reasonable but quality could be better for the price point.,True,17,2024-12-25
10,B09JQVYZM4,Coffee Maker Machine,U673528321,5,Fantastic!,Best purchase I made this year! Incredible performance and beautiful design. Shipping was fast and packaging perfect.,True,24,2024-05-18
11,B09N8R4W7Q,Wireless Phone Charger,U924970419,5,Love it!,Amazing performance with crystal clear results! Professional quality at a reasonable price. Definitely recommend this product.,True,2,2024-06-10
12,B07XJ8C8F7,Fitness Smartwatch,U326541099,5,Fantastic!,Best purchase I made this year! Incredible performance and beautiful design. Shipping was fast and packaging perfect.,True,45,2024-06-10
13,B07Q9X2V8K,Gaming Mouse RGB,U524806516,5,Excellent!,"Outstanding quality! Build feels premium and durable, worth every penny. Been using it daily and never disappoints.",True,9,2024-05-15
14,B08R7Y4K2N,Webcam HD 1080p,U678722458,3,Average product,It does the job adequately. Basic functions work properly but nothing exceptional or impressive about it.,True,37,2024-07-23
15,B09JQVYZM4,Coffee Maker Machine,U647099690,4,Great buy!,"Outstanding quality! Build feels premium and durable, worth every penny. Been using it daily and never disappoints.",True,7,2024-03-19
16,B08L5M9P3T,Bluetooth Speaker Portable,U740389325,1,Disappointing,Complete disaster! Stops working randomly and causes frustration daily. Horrible experience with unreliable performance.,True,29,2024-09-27
17,B08N5WRWNW,Wireless Bluetooth Headphones,U830448745,5,Amazing!,Superior quality and flawless operation. Every feature works perfectly as described. Highly satisfied with this purchase.,True,34,2024-05-16
